"aspectId","aspectName","aspectDescription","relationType","memberAspects","dataType","scoreMethod","choice","score","criteria","depth","level","parentAspectId"
"Q1134","GI.SAP11.86","86. In practice, the asset disclosure records of members of the governor and/or state cabinet-level officials are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","75","75.0",,"105","4","C344"
"Q1134","GI.SAP11.86","86. In practice, the asset disclosure records of members of the governor and/or state cabinet-level officials are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","50","50.0","The information is available online and is generally accessible, but some exceptions exist. Some information may not be machine readable (for example, locked in PDF format) and third-party programs or software may be required to process and use the information once it is downloaded. Certain licensing restrictions may impose a burden on sharing the information and/or analysis of the information.","105","4","C344"
"Q1134","GI.SAP11.86","86. In practice, the asset disclosure records of members of the governor and/or state cabinet-level officials are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","25","25.0",,"105","4","C344"
"Q1134","GI.SAP11.86","86. In practice, the asset disclosure records of members of the governor and/or state cabinet-level officials are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","0","0.0","The information is not available online or is available online in such a format as to render it useless for the majority of the public. Special skills and/or software are required to process the information, and the information is not machine readable and must be manually ""scraped"" in order to analyze it in bulk. Significant cost and/or licensing barriers pose major hurdles in the public accessing or using the information.","105","4","C344"
"Q1135","GI.SAP11.87","87. In practice, official government functions are kept separate and distinct from the functions of the ruling political party.","self","","SingleChoice","raw","100","100.0","Clear rules are followed distinguishing state functions from party activities. Government funds are never used for party activities. The civil service is completely distinct from party bureaucracy.","106","4","C344"
"Q1135","GI.SAP11.87","87. In practice, official government functions are kept separate and distinct from the functions of the ruling political party.","self","","SingleChoice","raw","75","75.0",,"106","4","C344"
"Q1135","GI.SAP11.87","87. In practice, official government functions are kept separate and distinct from the functions of the ruling political party.","self","","SingleChoice","raw","50","50.0","The ruling party is, in principle, separate from the state, but exceptions to this standard sometimes occur. Examples may be the use of civil servants to organize political rallies, use of government vehicles on campaign trips, or use of government funds for party purposes.","106","4","C344"
"Q1135","GI.SAP11.87","87. In practice, official government functions are kept separate and distinct from the functions of the ruling political party.","self","","SingleChoice","raw","25","25.0",,"106","4","C344"
"Q1135","GI.SAP11.87","87. In practice, official government functions are kept separate and distinct from the functions of the ruling political party.","self","","SingleChoice","raw","0","0.0","The government bureaucracy is an extension of the ruling party. There are few boundaries between government and party activities. Government funds, equipment, and personnel are regularly used to support party activities.","106","4","C344"
"C345","Category 345","Category 4. >","contains","C346","Float","mean","","","","107","1",""
"C346","Category 346",">. Legislative Accountability","contains","C347|C348|C349|C350|C351","Float","mean","","","","108","2","C345"
"C347","Category 347","4.1. Can members of the legislature be held accountable for their actions?","contains","Q1136|Q1137|Q1138|Q1139|Q1140","Float","mean","","","","109","3","C346"
"Q1136","GI.SAP11.88","88. In law, legislators are prohibited from the personal use of public funds.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are regulations that explicitly prohibit the use of public funds for personal ends.","110","4","C347"
"Q1136","GI.SAP11.88","88. In law, legislators are prohibited from the personal use of public funds.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such regulation exists.","110","4","C347"
"Q1137","GI.SAP11.89","89. In practice, the regulations preventing legislators from using public funds for personal purposes are effective.","self","","SingleChoice","raw","100","100.0","The regulations preventing legislators from using public funds for personal purposes are regularly enforced. ","111","4","C347"
"Q1137","GI.SAP11.89","89. In practice, the regulations preventing legislators from using public funds for personal purposes are effective.","self","","SingleChoice","raw","75","75.0",,"111","4","C347"
"Q1137","GI.SAP11.89","89. In practice, the regulations preventing legislators from using public funds for personal purposes are effective.","self","","SingleChoice","raw","50","50.0","The regulations preventing legislators from using public funds for personal purposes are generally applied though exceptions exist. Some officials are known to use public funds for private purposes.","111","4","C347"
"Q1137","GI.SAP11.89","89. In practice, the regulations preventing legislators from using public funds for personal purposes are effective.","self","","SingleChoice","raw","25","25.0",,"111","4","C347"
"Q1137","GI.SAP11.89","89. In practice, the regulations preventing legislators from using public funds for personal purposes are effective.","self","","SingleChoice","raw","0","0.0","Regulations preventing the legislators from using public funds for personal purposes are routinely ignored. Legislators are known to use public funds for private purposes frequently. ","111","4","C347"
"Q1138","GI.SAP11.90","90. In law, the judiciary can review laws passed by the legislature.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a formal process by which the judiciary or constitutional courts can pass judgments on the legality or constitutionality of laws passed by the legislature.","112","4","C347"
"Q1138","GI.SAP11.90","90. In law, the judiciary can review laws passed by the legislature.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such mechanism exists. A NO score is earned if judicial review is vaguely established in law or regulation without formal procedures. A NO score is also earned if general exceptions exist exempting certain legislative actions from being reviewed (a national security exemption, for example).","112","4","C347"
"Q1139","GI.SAP11.91","91. In practice, when necessary, the judiciary reviews laws passed by the legislature.","self","","SingleChoice","raw","100","100.0","When constitutional or legal questions or possible violations are raised, the judiciary is aggressive in reviewing laws passed and can void illegal or unconstitutional actions. The judiciary is fair and nonpartisan in its application of this power.","113","4","C347"
"Q1139","GI.SAP11.91","91. In practice, when necessary, the judiciary reviews laws passed by the legislature.","self","","SingleChoice","raw","75","75.0",,"113","4","C347"
"Q1139","GI.SAP11.91","91. In practice, when necessary, the judiciary reviews laws passed by the legislature.","self","","SingleChoice","raw","50","50.0","The judiciary will review laws passed, but is limited in its effectiveness. The judiciary may be slow to act, unwilling to take on politically sensitive issues, or occasionally unable to enforce its judgments.","113","4","C347"
"Q1139","GI.SAP11.91","91. In practice, when necessary, the judiciary reviews laws passed by the legislature.","self","","SingleChoice","raw","25","25.0",,"113","4","C347"
"Q1139","GI.SAP11.91","91. In practice, when necessary, the judiciary reviews laws passed by the legislature.","self","","SingleChoice","raw","0","0.0","The judiciary does not effectively review laws passed. The judiciary may make judgments but not enforce them, or may fail to pass judgments on executive abuses. The judiciary may be partisan in its application of power.","113","4","C347"
"Q1140","GI.SAP11.92","92. In law, are members of the state legislature subject to criminal proceedings?","self","","SingleChoice","raw","YES","100.0","A YES score is earned if all members of the legislature can, in law, be investigated and prosecuted for criminal allegations.","114","4","C347"
"Q1140","GI.SAP11.92","92. In law, are members of the state legislature subject to criminal proceedings?","self","","SingleChoice","raw","NO","0.0","A NO score is earned if any member of the legislature cannot, in law, be investigated and prosecuted for criminal proceedings.  A NO score is also earned if the legislative branch itself controls whether investigative or prosecutorial immunity can be lifted or placed on members of the legislature.","114","4","C347"
"C348","Category 348","4.2. Are there regulations governing conflicts of interest by members of the state legislature?","contains","Q1144|Q1145|Q1146|Q1147","Float","mean","","","","115","3","C346"
"Q1144","GI.SAP11.93","93. In law, members of the state legislature are required to file an asset disclosure form.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if all members of the legislature are required by law to file an asset disclosure form while in office, illustrating sources of income, stock holdings, and other assets. This form does not need to be publicly available to score a YES.","116","4","C348"
"Q1144","GI.SAP11.93","93. In law, members of the state legislature are required to file an asset disclosure form.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if any member of the legislature is not required to disclose assets.","116","4","C348"
"Q1145","GI.SAP11.94","94. In law, there are restrictions for state legislators entering the private sector after leaving the government.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are regulations restricting legislators' ability to take positions in the private sector after leaving government that would present a conflict of interest, including positions that directly seek to influence their former government colleagues.","117","4","C348"
"Q1145","GI.SAP11.94","94. In law, there are restrictions for state legislators entering the private sector after leaving the government.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such restrictions exist.","117","4","C348"
"Q1146","GI.SAP11.95","95. In law, there are regulations governing gifts and hospitality offered to members of the state legislature.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are formal guidelines regulating gifts and hospitality for members of the legislature.","118","4","C348"
"Q1146","GI.SAP11.95","95. In law, there are regulations governing gifts and hospitality offered to members of the state legislature.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no guidelines or regulations with respect to gifts or hospitality offered to members of the legislature. A NO score is also earned if the guidelines are general and do not specify what is and is not appropriate.","118","4","C348"
"Q1147","GI.SAP11.96","96. In law, there are requirements for the independent auditing of the asset disclosure forms of members of the state legislature.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a legal or regulatory requirement for independent auditing of legislative branch asset disclosures.  The auditing is performed by an impartial third party.","119","4","C348"
"Q1147","GI.SAP11.96","96. In law, there are requirements for the independent auditing of the asset disclosure forms of members of the state legislature.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no legal or regulatory requirements for the independent auditing of legislative branch asset disclosures or if such requirements exist but allow for self-auditing.","119","4","C348"
"C349","Category 349","4.3. Are regulations governing conflicts of interest by members of the state legislature effective?","contains","Q1148|Q1149|Q1150|Q1151|Q1152|Q1153","Float","mean","","","","120","3","C346"
"Q1148","GI.SAP11.97","97. In practice, the regulations restricting post-government private sector employment for state legislators are effective.","self","","SingleChoice","raw","100","100.0","The regulations restricting post-government private sector employment for state legislators are uniformly enforced.  There are no known cases of legislators taking jobs in the private sector after leaving government where they directly lobby or seek to influence their former government colleagues without an adequate cooling off period.","121","4","C349"
"Q1148","GI.SAP11.97","97. In practice, the regulations restricting post-government private sector employment for state legislators are effective.","self","","SingleChoice","raw","75","75.0",,"121","4","C349"
"Q1148","GI.SAP11.97","97. In practice, the regulations restricting post-government private sector employment for state legislators are effective.","self","","SingleChoice","raw","50","50.0","The regulations are generally enforced though some exceptions exist.  In certain sectors, legislators are known to sometimes take jobs in the private sector that entail directly lobbying or seeking to influence their former government colleagues.  Cooling off periods are short and sometimes ignored.","121","4","C349"
"Q1148","GI.SAP11.97","97. In practice, the regulations restricting post-government private sector employment for state legislators are effective.","self","","SingleChoice","raw","25","25.0",,"121","4","C349"
"Q1148","GI.SAP11.97","97. In practice, the regulations restricting post-government private sector employment for state legislators are effective.","self","","SingleChoice","raw","0","0.0","The regulations are rarely or never enforced.  Legislators routinely take jobs in the private sector following government employment that involve direct lobbying or influencing of former government colleagues.  Cooling off periods are non-existent or never enforced.  A ZERO score is also earned if legislators are allowed to hold private sector positions while in office.","121","4","C349"
"Q1149","GI.SAP11.98","98. In practice, the regulations governing gifts and hospitality offered to state legislators are effective.","self","","SingleChoice","raw","100","100.0","The regulations governing gifts and hospitality to state legislators are regularly enforced.  Legislators never or rarely accept gifts or hospitality above what is allowed.","122","4","C349"
"Q1149","GI.SAP11.98","98. In practice, the regulations governing gifts and hospitality offered to state legislators are effective.","self","","SingleChoice","raw","75","75.0",,"122","4","C349"
"Q1149","GI.SAP11.98","98. In practice, the regulations governing gifts and hospitality offered to state legislators are effective.","self","","SingleChoice","raw","50","50.0","The regulations governing gifts and hospitality to state legislators are generally applied though exceptions exist.  Some legislators in certain sectors (e.g. transportation, healthcare) are known to accept greater amounts of gifts and hospitality from outside interest groups or private sector actors than is allowed.","122","4","C349"
"Q1149","GI.SAP11.98","98. In practice, the regulations governing gifts and hospitality offered to state legislators are effective.","self","","SingleChoice","raw","25","25.0",,"122","4","C349"
"Q1149","GI.SAP11.98","98. In practice, the regulations governing gifts and hospitality offered to state legislators are effective.","self","","SingleChoice","raw","0","0.0","The regulations governing gifts and hospitality for state legislators are routinely ignored and unenforced.  Legislators routinely accept significant amounts of gifts and hospitality from outside interest groups and actors seeking to influence their decisions","122","4","C349"
"Q1150","GI.SAP11.99","99. In practice, state legislative branch asset disclosures are audited.","self","","SingleChoice","raw","100","100.0","Legislative branch asset disclosures are regularly audited using generally accepted auditing practices.","123","4","C349"
"Q1150","GI.SAP11.99","99. In practice, state legislative branch asset disclosures are audited.","self","","SingleChoice","raw","75","75.0",,"123","4","C349"
"Q1150","GI.SAP11.99","99. In practice, state legislative branch asset disclosures are audited.","self","","SingleChoice","raw","50","50.0","Legislative branch asset disclosures are audited, but audits are limited in some way, such as using inadequate auditing standards or the presence of exceptions to disclosed assets.","123","4","C349"
"Q1150","GI.SAP11.99","99. In practice, state legislative branch asset disclosures are audited.","self","","SingleChoice","raw","25","25.0",,"123","4","C349"
"Q1150","GI.SAP11.99","99. In practice, state legislative branch asset disclosures are audited.","self","","SingleChoice","raw","0","0.0","Legislative branch asset disclosures are not audited, or the audits performed have no value.  Audits may be performed by entities known to be partisan or biased in their practices.","123","4","C349"
"Q1151","GI.SAP11.100","100. In law, there are restrictions on legislators setting up non-profit organizations (e.g. community groups, think tanks) that can be used to reward political supporters and/or evade campaign finance rules.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are regulations restricting legislators' ability to create third-party organizations that could be used to reward political supporters and/or evade campaign finance rules. ","124","4","C349"
"Q1151","GI.SAP11.100","100. In law, there are restrictions on legislators setting up non-profit organizations (e.g. community groups, think tanks) that can be used to reward political supporters and/or evade campaign finance rules.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such restrictions exist.","124","4","C349"
"Q1152","GI.SAP11.101","101. In law, there are regulations to prevent nepotism (favorable treatment of family members), cronyism (favorable treatment of friends and colleagues), and patronage (favorable treatment of those who reward their superiors) in the hiring of legislative staff. ","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are specific formal rules prohibiting nepotism, cronyism, and patronage in the hiring of  legislative staff.  These should include competitive recruitment and promotion procedures as well as safeguards against arbitrary disciplinary actions and dismissal.","125","4","C349"
"Q1152","GI.SAP11.101","101. In law, there are regulations to prevent nepotism (favorable treatment of family members), cronyism (favorable treatment of friends and colleagues), and patronage (favorable treatment of those who reward their superiors) in the hiring of legislative staff. ","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such regulations exist.","125","4","C349"
"Q1153","GI.SAP11.102","102. In practice, legislative branch actions related to the hiring, firing, and promotion of legislative staff are not based on nepotism, cronyism, or patronage.","self","","SingleChoice","raw","100","100.0","Nepotism, cronyism, and patronage are actively discouraged at all levels of the legislative branch.  Hirings, firings, and promotions are based on merit and performance.","126","4","C349"
"Q1153","GI.SAP11.102","102. In practice, legislative branch actions related to the hiring, firing, and promotion of legislative staff are not based on nepotism, cronyism, or patronage.","self","","SingleChoice","raw","75","75.0",,"126","4","C349"
"Q1153","GI.SAP11.102","102. In practice, legislative branch actions related to the hiring, firing, and promotion of legislative staff are not based on nepotism, cronyism, or patronage.","self","","SingleChoice","raw","50","50.0","Nepotism, cronyism, and patronage are discouraged, but exceptions exist. Political leaders or senior officials sometimes appoint family member or friends to favorable positions, or lend other favorable treatment.","126","4","C349"
"Q1153","GI.SAP11.102","102. In practice, legislative branch actions related to the hiring, firing, and promotion of legislative staff are not based on nepotism, cronyism, or patronage.","self","","SingleChoice","raw","25","25.0",,"126","4","C349"
"Q1153","GI.SAP11.102","102. In practice, legislative branch actions related to the hiring, firing, and promotion of legislative staff are not based on nepotism, cronyism, or patronage.","self","","SingleChoice","raw","0","0.0","Nepotism, cronyism, and patronage are commonly accepted principles in hiring, firing and promotions.","126","4","C349"
"C350","Category 350","4.4. Can citizens access the asset disclosure records of members of the state legislature?","contains","Q1154|Q1155|Q1156|Q1157|Q1158","Float","mean","","","","127","3","C346"
"Q1154","GI.SAP11.103","103. In law, citizens can access the asset disclosure records of members of the state legislature.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if members of the state legislature file an asset disclosure form that is, in law, accessible to the public (individuals, CSOs, or journalists).","128","4","C350"
"Q1154","GI.SAP11.103","103. In law, citizens can access the asset disclosure records of members of the state legislature.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no asset disclosure for members of the state legislature. A NO score is earned if the form is filed, but not available to the public.","128","4","C350"
"Q1155","GI.SAP11.104","104. In practice, citizens can access legislative asset disclosure records within a reasonable time period.","self","","SingleChoice","raw","100","100.0","Records are available online, or records can be obtained within two days. Records are uniformly available; there are no delays for politically sensitive information.","129","4","C350"
"Q1155","GI.SAP11.104","104. In practice, citizens can access legislative asset disclosure records within a reasonable time period.","self","","SingleChoice","raw","75","75.0",,"129","4","C350"
"Q1155","GI.SAP11.104","104. In practice, citizens can access legislative asset disclosure records within a reasonable time period.","self","","SingleChoice","raw","50","50.0","Records take around two weeks to obtain. Some delays may be experienced.","129","4","C350"
"Q1155","GI.SAP11.104","104. In practice, citizens can access legislative asset disclosure records within a reasonable time period.","self","","SingleChoice","raw","25","25.0",,"129","4","C350"
"Q1155","GI.SAP11.104","104. In practice, citizens can access legislative asset disclosure records within a reasonable time period.","self","","SingleChoice","raw","0","0.0","Records take more than a month to acquire. In some cases,  records may be available sooner, but there may be persistent delays in obtaining politically sensitive records.","129","4","C350"
"Q1156","GI.SAP11.105","105. In practice, citizens can access legislative asset disclosure records at a reasonable cost.","self","","SingleChoice","raw","100","100.0","Records are free to all citizens, or available for the cost of photocopying. Records can be obtained at little cost, such as by mail or online.","130","4","C350"
"Q1156","GI.SAP11.105","105. In practice, citizens can access legislative asset disclosure records at a reasonable cost.","self","","SingleChoice","raw","75","75.0",,"130","4","C350"
"Q1156","GI.SAP11.105","105. In practice, citizens can access legislative asset disclosure records at a reasonable cost.","self","","SingleChoice","raw","50","50.0","Records impose a financial burden on citizens, journalists, or CSOs. Retrieving records may require a visit to a specific office, such as the state capitol.","130","4","C350"
"Q1156","GI.SAP11.105","105. In practice, citizens can access legislative asset disclosure records at a reasonable cost.","self","","SingleChoice","raw","25","25.0",,"130","4","C350"
"Q1156","GI.SAP11.105","105. In practice, citizens can access legislative asset disclosure records at a reasonable cost.","self","","SingleChoice","raw","0","0.0","Retrieving records imposes a major financial burden on citizens. Records' costs are prohibitive to most citizens, journalists, or CSOs trying to access this information.","130","4","C350"
"Q1157","GI.SAP11.106","106. In practice, the asset disclosure records of members of the state legislature are of high quality.","self","","SingleChoice","raw","100","100.0","The asset disclosure records of members of the state legislature are complete and detailed, providing the public with an accurate and updated accounting of the individuals' sources of income, investments, and other financial interests.","131","4","C350"
"Q1157","GI.SAP11.106","106. In practice, the asset disclosure records of members of the state legislature are of high quality.","self","","SingleChoice","raw","75","75.0",,"131","4","C350"
"Q1157","GI.SAP11.106","106. In practice, the asset disclosure records of members of the state legislature are of high quality.","self","","SingleChoice","raw","50","50.0","The asset disclosure records of the members of the state legislature contain some useful information but may be lacking important details, including politically sensitive investment or other financial arrangements in which the individual has an interest.","131","4","C350"
"Q1157","GI.SAP11.106","106. In practice, the asset disclosure records of members of the state legislature are of high quality.","self","","SingleChoice","raw","25","25.0",,"131","4","C350"
"Q1157","GI.SAP11.106","106. In practice, the asset disclosure records of members of the state legislature are of high quality.","self","","SingleChoice","raw","0","0.0","The asset disclosure records of the members of the state legislature are overly general, lack any meaningful detail, and do not provide clear accounting of the individuals' sources of income, investments, and other financial assets.","131","4","C350"
"Q1158","GI.SAP11.107","107. In practice, the asset disclosure records of members of the state legislature are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","100","100.0","The information is available online and is as complete as possible, including any raw or meta data necessary to fully understand how the final information was generated. The information is primary source data, is made available in real-time or within a matter of weeks, is available to the public via an Application Programming Interface (API), and is machine readable. Anyone can access the information at any time, and there is no cost burden on the public in downloading or accessing the information. The information is archived and/or available online in perpetuity, and there are no licensing restrictions limiting its use.  ","132","4","C350"
"Q1158","GI.SAP11.107","107. In practice, the asset disclosure records of members of the state legislature are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","75","75.0",,"132","4","C350"
"Q1158","GI.SAP11.107","107. In practice, the asset disclosure records of members of the state legislature are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","50","50.0","The information is available online and is generally accessible, but some exceptions exist. Some information may not be machine readable (for example, locked in PDF format) and third-party programs or software may be required to process and use the information once it is downloaded. Certain licensing restrictions may impose a burden on sharing the information and/or analysis of the information.","132","4","C350"
"Q1158","GI.SAP11.107","107. In practice, the asset disclosure records of members of the state legislature are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","25","25.0",,"132","4","C350"
"Q1158","GI.SAP11.107","107. In practice, the asset disclosure records of members of the state legislature are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","0","0.0","The information is not available online or is available online in such a format as to render it useless for the majority of the public. Special skills and/or software are required to process the information, and the information is not machine readable and must be manually ""scraped"" in order to analyze it in bulk. Significant cost and/or licensing barriers pose major hurdles in the public accessing or using the information.","132","4","C350"
"C351","Category 351","4.5. Can citizens access legislative processes and documents?","contains","Q1159|Q1160|Q1161|Q1162|Q1163","Float","mean","","","","133","3","C346"
"Q1159","GI.SAP11.108","108. In law, citizens can access records of legislative processes and documents. ","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a general legal right to access records of legislative proceedings including voting records. A YES score can still be given if there are formal rules for specific exemptions to the right to disclosure (special secret sessions related to national security).","134","4","C351"
"Q1159","GI.SAP11.108","108. In law, citizens can access records of legislative processes and documents. ","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no general right to access documents recording legislative proceedings. A NO score is also earned if there are exemptions to the general right that are not clearly defined by formal rules.","134","4","C351"
"Q1160","GI.SAP11.109","109. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- within a reasonable time period.","self","","SingleChoice","raw","100","100.0","Legislative records and documents are available online, or records/documents can be obtained within two days. Records and documents are uniformly available; there are no delays for politically sensitive information.","135","4","C351"
"Q1160","GI.SAP11.109","109. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- within a reasonable time period.","self","","SingleChoice","raw","75","75.0",,"135","4","C351"
"Q1160","GI.SAP11.109","109. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- within a reasonable time period.","self","","SingleChoice","raw","50","50.0","Records and documents take around two weeks to obtain. Some delays may be experienced.","135","4","C351"
"Q1160","GI.SAP11.109","109. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- within a reasonable time period.","self","","SingleChoice","raw","25","25.0",".","135","4","C351"
"Q1160","GI.SAP11.109","109. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- within a reasonable time period.","self","","SingleChoice","raw","0","0.0","Records and documents take more than a month to acquire. In some cases, most records and documents may be available sooner, but there may be persistent delays in obtaining politically sensitive records.","135","4","C351"
"Q1161","GI.SAP11.110","110. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- at a reasonable cost.","self","","SingleChoice","raw","100","100.0","Records and documents are free to all citizens, or available for the cost of photocopying. Records and documents can be obtained at little cost, such as by mail or online.","136","4","C351"
"Q1161","GI.SAP11.110","110. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- at a reasonable cost.","self","","SingleChoice","raw","75","75.0",,"136","4","C351"
"Q1161","GI.SAP11.110","110. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- at a reasonable cost.","self","","SingleChoice","raw","50","50.0","Records and documents impose a financial burden on citizens, journalists, or CSOs. Retrieving records or documents may require a visit to a specific office, such as the state capitol.","136","4","C351"
"Q1161","GI.SAP11.110","110. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- at a reasonable cost.","self","","SingleChoice","raw","25","25.0",".","136","4","C351"
"Q1161","GI.SAP11.110","110. In practice, citizens can access records of legislative processes and documents -- defined as summaries of legislative proposals, debates, votes, and official actions -- at a reasonable cost.","self","","SingleChoice","raw","0","0.0","Retrieving records or documents imposes a major financial burden on citizens. The costs of records and documents are prohibitive to most citizens, journalists, or CSOs trying to access this information.","136","4","C351"
"Q1162","GI.SAP11.111","111. In practice, the records of legislative processes and documents are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","100","100.0","The information is available online and is as complete as possible, including any raw or meta data necessary to fully understand how the final information was generated. The information is primary source data, is made available in real-time or within a matter of weeks, is available to the public via an Application Programming Interface (API), and is machine readable. Anyone can access the information at any time, and there is no cost burden on the public in downloading or accessing the information. The information is archived and/or available online in perpetuity, and there are no licensing restrictions limiting its use.  ","137","4","C351"
"Q1162","GI.SAP11.111","111. In practice, the records of legislative processes and documents are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","75","75.0",,"137","4","C351"
"Q1162","GI.SAP11.111","111. In practice, the records of legislative processes and documents are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","50","50.0","The information is available online and is generally accessible, but some exceptions exist. Some information may not be machine readable (for example, locked in PDF format) and third-party programs or software may be required to process and use the information once it is downloaded. Certain licensing restrictions may impose a burden on sharing the information and/or analysis of the information.","137","4","C351"
"Q1162","GI.SAP11.111","111. In practice, the records of legislative processes and documents are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","25","25.0",".","137","4","C351"
"Q1162","GI.SAP11.111","111. In practice, the records of legislative processes and documents are accessible to the public online in a meaningful and accessible manner.","self","","SingleChoice","raw","0","0.0","The information is not available online or is available online in such a format as to render it useless for the majority of the public. Special skills and/or software are required to process the information, and the information is not machine readable and must be manually ""scraped"" in order to analyze it in bulk. Significant cost and/or licensing barriers pose major hurdles in the public accessing or using the information.","137","4","C351"
"Q1163","GI.SAP11.112","112. In practice, the legislative process is sufficiently transparent to allow citizens/ CSOs to monitor the legislative process and provide input or changes to bills.","self","","SingleChoice","raw","100","100.0","Hearings and debates are public and records of these proceedings are easily accessible. Authors of individual bills can easily be identified and comprehensive description of bills are provided. New bills are not added to committee hearings which have convened on existing legislation.","138","4","C351"
"Q1163","GI.SAP11.112","112. In practice, the legislative process is sufficiently transparent to allow citizens/ CSOs to monitor the legislative process and provide input or changes to bills.","self","","SingleChoice","raw","75","75.0",".","138","4","C351"
"Q1163","GI.SAP11.112","112. In practice, the legislative process is sufficiently transparent to allow citizens/ CSOs to monitor the legislative process and provide input or changes to bills.","self","","SingleChoice","raw","50","50.0","There is a formal, transparent process for debate and hearings, but major modifications may be negotiated in separate, closed sessions. Authors of individual bills may be difficult to identify with comprehensive bill descriptions not clearly provided. New bills are sometimes added to committee hearings which have convened on existing legislation.","138","4","C351"
"Q1163","GI.SAP11.112","112. In practice, the legislative process is sufficiently transparent to allow citizens/ CSOs to monitor the legislative process and provide input or changes to bills.","self","","SingleChoice","raw","25","25.0",".","138","4","C351"
"Q1163","GI.SAP11.112","112. In practice, the legislative process is sufficiently transparent to allow citizens/ CSOs to monitor the legislative process and provide input or changes to bills.","self","","SingleChoice","raw","0","0.0","The legislative process is effectively closed to the public. There may be a formal, transparent process, but most real discussion and debate happens in other, closed settings.","138","4","C351"
"C352","Category 352","Category 5. >","contains","C353","Float","mean","","","","139","1",""
"C353","Category 353",">. Judicial Accountability","contains","C354|C355|C356|C357|C358","Float","mean","","","","140","2","C352"
"C354","Category 354","5.1. Is the process for selecting state-level judges transparent and accountable?","contains","Q1164|Q1166|Q1165","Float","mean","","","","141","3","C353"
"Q1164","GI.SAP11.117","113. In law, there is a transparent procedure for selecting state-level judges. State-level judges are defined as judges who have powers that derive from a state law or constitution; are nominated/appointed by a state governmental body (state legislature or executive); and/or are elected state-wide.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a formal process for selecting state-level judges. This process should be public in the debating and confirmation stages (or be a competitive election process). ","142","4","C354"
"Q1164","GI.SAP11.117","113. In law, there is a transparent procedure for selecting state-level judges. State-level judges are defined as judges who have powers that derive from a state law or constitution; are nominated/appointed by a state governmental body (state legislature or executive); and/or are elected state-wide.","self","","SingleChoice","raw","NO","0.0","A NO score is given if there is no formal process of selection or the process is conducted without public oversight.","142","4","C354"
"Q1166","GI.SAP11.118","114. In practice, professional criteria are followed in selecting state-level judges.","self","","SingleChoice","raw","100","100.0","State-level judges selected have relevant professional qualifications such as formal legal training, experience as a lower court judge or a career as a litigator.","143","4","C354"
